title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in",https://www.dubizzle.com.om/en/ad/advs1501-new-villa-modern-and-well-designed-4-bhk-villa-for-sale-in-ID130482825.html,98000.0,4.0,6.0,195.0,"Al Amarat, Muscat",1 day ago,
2Bedroom Lake View Apartment for Sale in Hawana Salalah,https://www.dubizzle.com.om/en/ad/2bedroom-lake-view-apartment-for-sale-in-hawana-salalah-ID130188400.html,85000.0,2.0,2.0,120.0,"Salalah, Dhofar",1 day ago,
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,https://www.dubizzle.com.om/en/ad/furnished-1-bedroom-apartment-for-sale-in-hawana-salalah-pool-view-ID130187754.html,50000.0,1.0,1.0,55.0,"Salalah, Dhofar",1 day ago,
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,https://www.dubizzle.com.om/en/ad/2bhk-penthouse-apartment-with-stunning-view-for-sale-in-jebel-sifah-ID130270582.html,95000.0,2.0,2.0,129.0,"Al Sifah, Muscat",1 day ago,
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City",https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-villa-for-sale-sultan-haitham-city-ID130027596.html,175000.0,4.0,3.0,333.0,"Al Seeb, Muscat",1 day ago,
شقق للبيع في مدينة السلطان هيثم Apartments for Sale in Sultan Haitham,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-apartments-for-sale-in-sultan-haitham-ID130151507.html,53922.0,1.0,1.0,67.0,"Sultan Haitham City, Muscat",1 day ago,
2-Bedroom Apartment in Jebel Sifah شقة غرفتين للبيع في جبل سيفة,https://www.dubizzle.com.om/en/ad/2-bedroom-apartment-in-jebel-sifah-%D8%B4%D9%82%D8%A9-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID130022533.html,73000.0,2.0,2.0,120.0,"Al Sifah, Muscat",1 day ago,
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,https://www.dubizzle.com.om/en/ad/farm-21-bedrooms-in-jebel-sifah-%D8%B4%D8%A7%D9%84%D9%8A%D9%87-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D8%B9%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID129344708.html,170000.0,2.0,3.0,140.0,"Al Sifah, Muscat",1 day ago,
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah",https://www.dubizzle.com.om/en/ad/live-in-style-2br-maids-room-apartment-jebel-sifah-ID130183132.html,110000.0,2.0,2.0,124.0,"Al Sifah, Muscat",1 day ago,
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة",https://www.dubizzle.com.om/en/ad/sifah-farm-21-bed-for-sale-jebel-sifah-%D8%B4%D8%A7%D9%84%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID130260258.html,190000.0,2.0,3.0,990.0,"Al Sifah, Muscat",1 day ago,
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%87%D9%88%D8%A7%D9%86%D8%A7-%D8%B5%D9%84%D8%A7%D9%84%D8%A9-villa-2bhk-in-hawana-salalah-ID129356816.html,165000.0,2.0,2.0,131.0,"Salalah, Dhofar",1 day ago,
2Bedroom Duplex Villa For Sale – Hawana Salalah,https://www.dubizzle.com.om/en/ad/2bedroom-duplex-villa-for-sale-hawana-salalah-ID130251449.html,135000.0,2.0,2.0,124.0,"Salalah, Dhofar",1 day ago,
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,https://www.dubizzle.com.om/en/ad/furnished-4-bedroom-twin-storey-villa-for-sale-in-jebel-sifah-ID130225728.html,335000.0,4.0,4.0,344.0,"Al Sifah, Muscat",1 day ago,
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,https://www.dubizzle.com.om/en/ad/fully-furnished-2-bedroom-villa-for-sale-in-hawana-salalah-ID130212745.html,160000.0,2.0,2.0,131.0,"Salalah, Dhofar",1 day ago,
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,https://www.dubizzle.com.om/en/ad/townhouse-for-sale-in-sultan-haitham-%D8%AA%D8%A7%D9%88%D9%86-%D9%87%D8%A7%D9%88%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-ID130149064.html,111700.0,3.0,3.0,194.0,"Sultan Haitham City, Muscat",1 day ago,
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,https://www.dubizzle.com.om/en/ad/2-bedrooms-sea-view-villa-jebel-sifah-%D9%81%D9%8A%D9%84%D8%A7-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID129074007.html,265000.0,2.0,2.0,129.0,"Al Sifah, Muscat",1 day ago,
Studio room near Al Mouj free wifi,https://www.dubizzle.com.om/en/ad/studio-room-near-al-mouj-free-wifi-ID120787662.html,150.0,1.0,1.0,45.0,"The Wave (Almouj), Muscat",2 days ago,
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,https://www.dubizzle.com.om/en/ad/marina-facing-3-bedroom-apartment-for-sale-al-mouj-muscat-ID130481312.html,240000.0,3.0,3.0,195.0,"The Wave (Almouj), Muscat",2 days ago,
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,https://www.dubizzle.com.om/en/ad/villa-for-rent-near-crowne-plaza-4-bedrooms-ID130481129.html,3000.0,4.0,6.0,,"Qurum, Muscat",2 days ago,
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,https://www.dubizzle.com.om/en/ad/park-view-private-garden-luxurious-amara-5bhk-villa-in-jinan-island-ID130416080.html,714000.0,5.0,6.0,455.0,"The Wave (Almouj), Muscat",2 days ago,
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,https://www.dubizzle.com.om/en/ad/%D8%AA%D9%88%D9%8A%D9%86-%D9%81%D9%8A%D9%84%D8%A7-%D8%A8%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D8%A7%D8%AA-%D9%85%D8%B1%D8%AA%D9%81%D8%B9%D8%A7%D8%AA-2-ID130197503.html,82000.0,6.0,7.0,338.0,"Al Amarat, Muscat",2 days ago,
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,https://www.dubizzle.com.om/en/ad/%D8%AA%D9%85%D9%84%D9%83-%D8%B4%D9%82%D8%AA%D9%83-%D8%A7%D9%84%D8%AF%D9%88%D8%A8%D9%84%D9%83%D9%8A%D8%B3-%D9%85%D9%86-%D8%B7%D8%A7%D8%A8%D9%82%D9%8A%D9%86-%D9%81-%D8%A7%D9%84%D8%B9%D8%B0%D9%8A%D8%A8%D9%87-%D8%A8%D8%A7%D9%84%D8%A7%D9%82%D8%B3%D8%A7%D8%B7-%D8%B9%D9%84%D9%8A-48-%D8%B4%D9%87%D8%B1-%D8%A8%D8%AF%D9%88%D9%86-%D9%81%D9%88%D8%A7%D8%A6%D8%AF-ID130478828.html,49500.0,2.0,3.0,105.0,"Azaiba, Muscat",2 days ago,
